Rotor Length,Time,Color,Group,Anomaly,Helicopter ID
Long,2.38,Purple,JAHM,,M
Long,2.55,Purple,JAHM,,H
Short,2.31,Orange,JAHM,,J
Short,2.16,Orange,JAHM,Hit String,A
Short,2.21,Orange,JAHM,,J
Long,2.65,Purple,JAHM,,H
Short,2.03,Orange,JAHM,,A
Long,2.55,Purple,JAHM,,M
Short,2.12,Orange,JAHM,,A
Long,2.55,Purple,JAHM,,M
Short,2.12,Orange,JAHM,,A
Long,2.19,Purple,JAHM,,H
Long,2.50,Purple,JAHM,,M
Short,1.86,Orange,JAHM,,J
Long,2.39,Purple,JAHM,,M
Long,2.61,Purple,JAHM,,H
Short,2.08,Orange,JAHM,,A
Short,2.23,Orange,JAHM,,J
Long,2.37,Purple,JAHM,,M
Long,2.28,Purple,JAHM,,H
Short,2.15,Orange,JAHM,,J
Short,1.96,Orange,JAHM,,A
Long,2.52,Purple,JAHM,,H
Short,2.12,Orange,JAHM,,A
Short,1.90,Orange,JAHM,,J
Long,2.38,Purple,JAHM,,H
Short,2.17,Orange,JAHM,,A
Short,1.71,Orange,JAHM,,J
Long,2.26,Purple,JAHM,,M
Short,2.01,Orange,JAHM,,J
Short,2.35,Orange,JAHM,,A
Long,2.13,Purple,JAHM,,M
Long,2.08,Purple,JAHM,,H
Long,2.08,Purple,JAHM,,H
Short,1.51,Orange,JAHM,,A
Long,2.29,Purple,JAHM,,M
Short,1.88,Orange,JAHM,,J
Short,2.00,Orange,JAHM,,J
Long,2.56,Purple,JAHM,,H
Short,2.20,Orange,JAHM,,A
Long,2.48,Purple,JAHM,,M
Short,2.19,Orange,JAHM,,J
Short,1.94,Orange,JAHM,,A
Long,2.57,Purple,JAHM,,H
Long,1.70,Purple,JAHM,early drop,M
Short,1.81,Purple,KCJH,,
Long,1.91,Purple,KCJH,,
Long,2.05,Purple,KCJH,,
Long,2.12,Purple,KCJH,,
Short,2.02,Purple,KCJH,,
Short,1.77,Purple,KCJH,,
Long,2.07,Purple,KCJH,,
Long,2.39,Purple,KCJH,,
Short,1.71,Purple,KCJH,,
Short,2.38,Purple,KCJH,Interference,
Long,1.60,Purple,KCJH,,
Long,2.69,Purple,KCJH,,
Short,2.03,Purple,KCJH,,
Short,1.91,Purple,KCJH,,
Long,2.26,Purple,KCJH,,
Long,2.39,Purple,KCJH,,
Short,1.82,Purple,KCJH,,
Short,1.72,Purple,KCJH,,
Long,1.98,Purple,KCJH,Interference,
Long,2.43,Purple,KCJH,,
Short,2.07,Purple,KCJH,Interference,
Short,2.20,Purple,KCJH,Interference,
Long,2.06,Purple,KCJH,,
Long,2.36,Purple,KCJH,,
Short,2.22,Purple,KCJH,,
Short,2.21,Purple,KCJH,,
Long,2.98,Purple,ZYLH,hit someone,L1
Long,2.25,Purple,ZYLH,,L2
Short,2.71,Purple,ZYLH,,S1
Short,2.31,Purple,ZYLH,,S2
Long,2.45,Purple,ZYLH,,L1
Long,1.61,Purple,ZYLH,upside down,L2
Short,2.19,Purple,ZYLH,,S1
Short,2.26,Purple,ZYLH,,S2
Long,2.12,Purple,ZYLH,sideways,L1
Long,1.86,Purple,ZYLH,,L2
Short,2.52,Purple,ZYLH,,S1
Short,1.86,Purple,ZYLH,sideways,S2
Long,2.12,Purple,ZYLH,,L1
Long,1.79,Purple,ZYLH,,L2
Short,1.81,Purple,ZYLH,,S1
Short,2.13,Purple,ZYLH,,S2
Long,2.39,Purple,ZYLH,,L1
Long,1.80,Purple,ZYLH,,L2
Short,2.19,Purple,ZYLH,,S1
Short,2.24,Purple,ZYLH,,S2
Long,2.71,Purple,ZYLH,,L1
